id,entity_type,original_name,slug_name,full_hash,first_seen,last_seen
1,IP_ADDRESS,127.0.0.1,3b7a8cc792,3b7a8cc792f3ea92a2b411605fc513cb0c739d20ba9136477abda7136582655c,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
2,HOSTNAME,localhost,bc9667295e,bc9667295e67e06f062d9597b68f1f58c9b9f638904742d2e398b6fb4798e21c,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
3,HASH,0631792DF994C0A697B4FD08A4BDBDF47FE99620C3AF773B5CAB7052CC0E119E,93887d7391,93887d739197675a7f5db1858c50d7a718c4e7e72d860112d882cb7aca0c41b1,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
4,CERT_BODY,MIIC+DCCAeCgAwIBAgIUWIwhIFpyqUzYHo94L+TurL2Do4IwDQYJKoZIhvcNAQELBQAwFDESMBAGA1UEAwwJbG9jYWxob3N0MB4XDTI1MTAyNDEwMjU1NFoXDTM1MTAyMjEwMjU1NFowFDESMBAGA1UEAwwJbG9jYWxob3N0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuECC7joyxpL+BPzs81Oj41E8GfRXfVi4Z8Q6+i7yX9csy50dR17yvlfYR9n4xR4g2EuFik8RbyYMqj6h0JVUz2yLlKookbMdv7LR89zc83qPSF8baKMEzB72F3JZ0byo1UJmEZknxbNiOiWBC4N3bbLGo8pkOZb5THouOBQOt8LmN1a/q7fkxUOQKtRhbFdJ6EfNhjcYje2xnz5hwkxq8kSr8ywAuXKJrCcs6yFfS+K/GWlP7k9tczWeE5JxPs1HSEkVJm2ktKvEZq+O9tkJVEdI/9dEAIJh349yqwWKRDpETbH3pHGRc/ZDp5j/1hSpi7uCcbWjL3IhrVgGn7gOBQIDAQABo0IwQDAJBgNVHRMEAjAAMBQGA1UdEQQNMAuCCWxvY2FsaG9zdDAdBgNVHQ4EFgQUhznZicX4oVApgeen/kAUZybxNKIwDQYJKoZIhvcNAQELBQADggEBAIip4ggdE47kJL+p94EgMQWdsTb26ljgzvj6fh7rhJ3jHGpppSsjmDLwZoKTmbO3c3f31g2GhwnBN1F6Wohciqz2XoScqSE0YMvzWOzKaBkJTaeNQCJ5m+OL3PGxXnPT+t+5aIUwrLrfFHouZQqLXOFar5ed3tTKdOiQRoBDi11i6sP7JWqwGUnKoiUf1IuxZKuY4wVWPAlHG0ilnPOnkzxhkp8LbbPA3Shr7cn6JlXBSMWaYx9aqyOcQEF2q+ao5Y9dP30QC35fHFrnF41+0THzs6lbx7QTxO7q+WLdj95VYZ9EEEPIj2SWNhD2edvdlHyDXdJixh+zX4GAqb3Ard4,e3deaafd42,e3deaafd42c19126147525af1bf5903082178a69ebfed0201c5dd574861e141a,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
5,CERT_SERIAL,588C21205A72A94CD81E8F782FE4EEACBD83A382,3664c811cb,3664c811cb197d26c9334f334f75a4a2a6ef8456d9719713c4d808ded3bc3754,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
6,HOSTNAME,CN=localhost,a79de5c2e5,a79de5c2e5d04fb8f1a8961e0368117c09781a1e5beeacb189c0afdeeb1d5951,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
7,HASH,74CDE0514D09B61DED45CE21F1ED4947B23B4BFA00CEF20112A57B3B1BF6E03C,a3c262987d,a3c262987dc9fa2c34947de3edc7abc4baed02754a9543a9db3ba16f4bda19df,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
8,CERT_BODY,MIIEtzCCAx+gAwIBAgIUKx5BKH2UFrjeJk6jQ46q+SfQ64UwDQYJKoZIhvcNAQELBQAwZzELMAkGA1UEBhMCREUxEzARBgNVBAcTCk9zbmFicnVlY2sxEjAQBgNVBAoTCUdWTSBVc2VyczEvMC0GA1UECxMmQ2VydGlmaWNhdGUgQXV0aG9yaXR5IGZvciA0MDA4Yzg1MGFkN2MwHhcNMjUxMDMxMTcxNzUxWhcNMjcxMDMxMTcxNzUxWjBNMQswCQYDVQQGEwJERTETMBEGA1UEBxMKT3NuYWJydWVjazESMBAGA1UEChMJR1ZNIFVzZXJzMRUwEwYDVQQDEww0MDA4Yzg1MGFkN2MwggGiMA0GCSqGSIb3DQEBAQUAA4IBjwAwggGKAoIBgQCibypgD3ccm5/aMY4RUT2fLtYOMZOZA6HEVvPf5e9PvD1aY2eEh1BohM/jujPlrJIy3UMAho7toh5O31ePAEaikEQqcC3APEoHaNab5yRnLs9d7AmcqwRYvGEpNUf4RiIuYtWj6UruDpfbeNEwhndQPyjMKAkH7JppAusNXG5S+xbq960NrqBa4YRHObjY3QVe9LIj8HTrTfshqLuSyg+h4806BTHrCyRSfXGIb0BfWsu7GT6oOb+l6HD0Q0aFSAv5C8gq/ZXwA3s82Q0yKSNAEKL1VHve8V6CKTeJrZ44q9TXK5YT7RrMt2AptpY9eutFmqS0Q34XnVjXOLwzklL9YmGJyFxjv4tYtEA8VzwOJaelDpjzw9tDkBnA/D9lIO3W1BH14QAPeNmwz2N9cE9cuFB0dTYSU4ORPcdHY/PE6olG/YBg9Bo16SbH0khsjkn4RggoLR2sChlm7xIjpN0eyiM74zLkjKugNODlib5ULoiqv5vANOQan3cOlWvM+wECAwEAAaN1MHMwDAYDVR0TAQH/BAIwADATBgNVHSUEDDAKBggrBgEFBQcDATAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0OBBYEFPGxEvT7pPE6pYJWlVQt8daWGh2YMB8GA1UdIwQYMBaAFMRvsW4s9yfdvzCfGT+/PVjeplJMMA0GCSqGSIb3DQEBCwUAA4IBgQAoAmxBvuKW0TCCXlSFr0rV8N+0zEfiFd4S6V0YdJeEHy/MvOHki1q3YvmIlG2ghj3/hzPwQPIkYBo69B/mqLmUapLZhy19Xhye2kyCHaQarBP0ZAnM/1BIY8Jjl+ZQiybsOFc0mtmgXwlVMvzKC7Xpu+W4mfYQ/AQYK9ijdrlCKi0ZxwJl0Nw9D/YqCSLxSLew1J4UdkCnOTCBrky0bYF2eSqD4wvmyj1W1fgGx60+dIpSpII8idRxe35azuCAAq2C2RvOGYspwGWR7IC0QtUFCCUeXL+cqxqVtU5vF3TvHU8WQhOPmaNxDTwCsJmG0u7eQsK7VSOYBc6IZEMXnj+SfWWEq6OYM2EjGPypMmWfmoIg1NAM/Y6d5VIcRm4/elIQgsxp7o6tCmRW5OtPNncS9tJdhz+asOLe+V6vKdPQ8kCMX+2sbn6RH0BkcOm0xTPgG1BceDocqnQxSirKSan704DHHxqslNXJ0L+4zjatSvqZJUrcFBleSkY5gnZm+ng,f40c20993f,f40c20993f651cc3c1193d21838a77372044c6625c365990e7f26e81de2180f7,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
9,CERT_SERIAL,2B1E41287D9416B8DE264EA3438EAAF927D0EB85,c962480c81,c962480c81a63e8444d92fa7efc6927f00906e395d7f110346cc071b111c69dd,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
10,HOSTNAME,4008c850ad7c,2826ec33bd,2826ec33bd1ff2aee9530b29eebfd41267fb9ca26b9cf76a31b77755b3f0a1c3,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
11,ORGANIZATION,MQTT Broker Detection (TCP),32ff4bc83a,32ff4bc83adf9081ec82f57f31fc17fbf97dc4f82e522b487ea46e8e69b79cef,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
12,HOSTNAME,202510311712,2e8fb4aa84,2e8fb4aa8432c363e14b79ddf32547eb61466268242d08e66e9861d108c1e4c5,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
13,HASH,8d:3d:d5:0a:9c:d9:5f:5f:7b:96:cd:b4:9f:9c:c0:18,5d43fa3e5e,5d43fa3e5e9bcbdd44ad2375bb6c0f1134dd0af7d706eed3892d4bf5d22e46b7,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
14,HASH,6b:49:27:4b:1c:74:5a:62:b8:2b:6c:04:63:2e:d4:bb,812d4c46ca,812d4c46ca66b41af4bc9429e9cc5c6fca8bd221689695ec0cea2fe9e189e889,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
15,HOSTNAME,CN=4008c850ad7c,0b8bd0b4d6,0b8bd0b4d6d964b667eb4aa50618521c8eccebb351c1c5b4af79338e5f7b45b7,2025-11-06T21:00:04.281081,2025-11-06T21:00:04.281081
